date,pick,buy_hit,sell_hit,signals,held,day_pnl,portfolio,top3,month
2025-10-20,기아,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",기아,5.595665783413062,10650342.492674781,기아 | SK이노베이션 | 한국전력,2025-10
2025-10-21,메리츠금융지주,7,0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",메리츠금융지주,-1.5384640033405006,10582783.23153676,메리츠금융지주 | SK이노베이션 | 현대모비스,2025-10
2025-10-22,기아,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",기아,-1.954120645709434,10433448.789847597,기아 | SK이노베이션 | 한국전력,2025-10
2025-10-23,메리츠금융지주,8,0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",메리츠금융지주,-1.7736534439889762,10119246.988010315,메리츠금융지주 | HMM | SK텔레콤,2025-10
2025-10-24,LG,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",LG,-1.0362694300518172,9998450.935886221,LG | POSCO홀딩스 | KT&G,2025-10
2025-10-27,셀트리온,6,2,"GC,지지반등,MACD,BB회귀,200일선,STO_GC",셀트리온,-0.615766887674396,10338271.149208054,셀트리온 | 하나금융지주 | LG화학,2025-10
2025-10-28,메리츠금융지주,7,0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC,피보나치",메리츠금융지주,5.196315970886323,10359076.313879704,메리츠금융지주 | HMM | 기업은행,2025-10
2025-10-29,카카오,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",카카오,-0.17528483786152238,11130084.601139037,카카오 | 셀트리온 | LG화학,2025-10
2025-10-30,카카오,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",카카오,6.583075019491069,10416635.033216495,카카오 | SK텔레콤 | LG,2025-10
2025-10-31,HMM,6,0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",HMM,-4.852940303136211,10563132.185720477,HMM | 현대모비스 | 카카오,2025-10
2025-11-03,카카오,6,2,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",카카오,-0.7281559881632149,10158441.811699253,카카오 | NAVER | 셀트리온,2025-11
2025-11-04,NAVER,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",NAVER,-2.8528496867678887,9965108.058195975,NAVER | 삼성전자 | KB금융,2025-11
2025-11-05,SK텔레콤,6,2,"지지반등,MACD,BB회귀,200일선,STO_GC,피보나치",SK텔레콤,-1.2843986181753198,10072789.98998864,SK텔레콤 | 메리츠금융지주 | NAVER,2025-11
2025-11-06,NAVER,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",NAVER,0.9541989951099339,9464260.701472247,NAVER | 메리츠금융지주 | SK텔레콤,2025-11
2025-11-07,SK텔레콤,6,1,"지지반등,RSI탈출,BB회귀,200일선,STO_GC,피보나치",SK텔레콤,-9.058615568947005,9192590.843640069,SK텔레콤 | 하나금융지주 | 메리츠금융지주,2025-11
2025-11-10,카카오,4,1,"GC,MACD,BB회귀,W패턴",카카오,1.127820766707388,9080719.569001226,카카오 | 하나금융지주 | 메리츠금융지주,2025-11
2025-11-11,SK텔레콤,7,0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",SK텔레콤,-1.419559605290166,9122384.759856274,SK텔레콤 | 메리츠금융지주 | KT&G,2025-11
2025-11-12,SK텔레콤,6,0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",SK텔레콤,0.5555509224854704,9084692.128536275,SK텔레콤 | 하나금융지주 | 삼성전자,2025-11
2025-11-13,KT&G,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",KT&G,-0.5524861878452914,9117868.05093763,KT&G | 메리츠금융지주 | 하나금융지주,2025-11
