date,side,tic,name,qty,price,pnl_pct,buy_hit,sell_hit,signals,rank2,rank2_hit,prev_buy_hit
2025-10-02,BUY,068270,셀트리온,56,166351.58731816759,,6.0,1.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",메리츠금융지주,4.0,
2025-10-10,SELL,068270,셀트리온,56,166730.9572693901,0.2280530996659147,,,,,,6.0
2025-10-10,BUY,096770,SK이노베이션,88,104900.0,,6.0,3.0,"RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",LG에너지솔루션,5.0,
2025-10-13,SELL,096770,SK이노베이션,88,101800.0,-2.9551954242135414,,,,,,6.0
2025-10-13,BUY,006400,삼성SDI,44,203500.0,,5.0,2.0,"GC,MACD,BB회귀,W패턴,200일선",SK텔레콤,5.0,
2025-10-14,SELL,006400,삼성SDI,44,211500.0,3.9312039312039415,,,,,,5.0
2025-10-14,BUY,096770,SK이노베이션,90,103000.0,,8.0,2.0,"지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",고려아연,6.0,
2025-10-15,SELL,096770,SK이노베이션,90,106500.0,3.398058252427183,,,,,,8.0
2025-10-15,BUY,096770,SK이노베이션,90,106500.0,,7.0,2.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",삼성바이오로직스,7.0,
2025-10-16,SELL,096770,SK이노베이션,90,108100.0,1.5023474178403662,,,,,,7.0
2025-10-16,BUY,096770,SK이노베이션,90,108100.0,,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",삼성바이오로직스,7.0,
2025-10-17,SELL,096770,SK이노베이션,90,114500.0,5.920444033302497,,,,,,7.0
2025-10-17,BUY,000270,기아,97,106140.51282337199,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",SK이노베이션,6.0,
2025-10-20,SELL,000270,기아,97,112079.78118176856,5.595665783413062,,,,,,6.0
2025-10-20,BUY,000270,기아,97,112079.78118176856,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",SK이노베이션,6.0,
2025-10-21,SELL,000270,기아,97,110355.47409326425,-1.5384640033405006,,,,,,6.0
2025-10-21,BUY,138040,메리츠금융지주,90,117700.0,,7.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",SK이노베이션,7.0,
2025-10-22,SELL,138040,메리츠금융지주,90,115400.0,-1.954120645709434,,,,,,7.0
2025-10-22,BUY,000270,기아,92,113420.90749364944,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",SK이노베이션,6.0,
2025-10-23,SELL,000270,기아,92,111409.21366168479,-1.7736534439889762,,,,,,6.0
2025-10-23,BUY,138040,메리츠금융지주,88,115800.0,,8.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",HMM,7.0,
2025-10-24,SELL,138040,메리츠금융지주,88,114600.0,-1.0362694300518172,,,,,,8.0
2025-10-24,BUY,003550,LG,127,79284.04512157108,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",POSCO홀딩스,5.0,
2025-10-27,SELL,003550,LG,127,78795.84022450361,-0.615766887674396,,,,,,6.0
2025-10-27,BUY,068270,셀트리온,61,164265.07248940237,,6.0,2.0,"GC,지지반등,MACD,BB회귀,200일선,STO_GC",하나금융지주,5.0,
2025-10-28,SELL,068270,셀트리온,61,172800.80468575718,5.196315970886323,,,,,,6.0
2025-10-28,BUY,138040,메리츠금융지주,92,114100.0,,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC,피보나치",HMM,7.0,
2025-10-29,SELL,138040,메리츠금융지주,92,113900.0,-0.17528483786152238,,,,,,7.0
2025-10-29,BUY,035720,카카오,164,63710.722996676515,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",셀트리온,5.0,
2025-10-30,SELL,035720,카카오,164,67904.84768700787,6.583075019491069,,,,,,6.0
2025-10-30,BUY,035720,카카오,164,67904.84768700787,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",SK텔레콤,6.0,
2025-10-31,SELL,035720,카카오,164,64609.465965821815,-4.852940303136211,,,,,,6.0
2025-10-31,BUY,011200,HMM,529,19985.075824969586,,6.0,0.0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",현대모비스,4.0,
2025-11-03,SELL,011200,HMM,529,19839.55329861111,-0.7281559881632149,,,,,,6.0
2025-11-03,BUY,035720,카카오,157,66506.80759447675,,6.0,2.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",NAVER,5.0,
2025-11-04,SELL,035720,카카오,157,64609.4683423384,-2.8528496867678887,,,,,,6.0
2025-11-04,BUY,035420,NAVER,37,269667.29488529963,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성전자,4.0,
2025-11-05,SELL,035420,NAVER,37,266203.6918761221,-1.2843986181753198,,,,,,6.0
2025-11-05,BUY,017670,SK텔레콤,192,51966.81211456357,,6.0,2.0,"지지반등,MACD,BB회귀,200일선,STO_GC,피보나치",메리츠금융지주,6.0,
2025-11-06,SELL,017670,SK텔레콤,192,52462.678913551405,0.9541989951099339,,,,,,6.0
2025-11-06,BUY,035420,NAVER,36,278573.7395241477,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",메리츠금융지주,6.0,
2025-11-07,SELL,035420,NAVER,36,253338.8153846154,-9.058615568947005,,,,,,6.0
2025-11-07,BUY,017670,SK텔레콤,173,52760.20025749064,,6.0,1.0,"지지반등,RSI탈출,BB회귀,200일선,STO_GC,피보나치",하나금융지주,6.0,
2025-11-10,SELL,017670,SK텔레콤,173,53355.24075255102,1.127820766707388,,,,,,6.0
2025-11-10,BUY,035720,카카오,145,63311.28499949839,,4.0,1.0,"GC,MACD,BB회귀,W패턴",하나금융지주,4.0,
2025-11-11,SELL,035720,카카오,145,62412.54357205538,-1.419559605290166,,,,,,4.0
2025-11-11,BUY,017670,SK텔레콤,169,53553.58697532288,,7.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",메리츠금융지주,7.0,
2025-11-12,SELL,017670,SK텔레콤,169,53851.104421788354,0.5555509224854704,,,,,,7.0
2025-11-12,BUY,017670,SK텔레콤,169,53851.104421788354,,6.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",하나금융지주,4.0,
2025-11-13,SELL,017670,SK텔레콤,169,53553.58450785583,-0.5524861878452914,,,,,,6.0
2025-11-13,BUY,033780,KT&G,66,136026.4861851457,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",메리츠금융지주,6.0,
2025-11-14,SELL,033780,KT&G,66,137682.97806806237,1.2177715747667017,,,,,,6.0
2025-11-14,BUY,138040,메리츠금융지주,74,122200.0,,6.0,1.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",삼성생명,5.0,
2025-11-17,SELL,138040,메리츠금융지주,74,119100.0,-2.53682487725041,,,,,,6.0
2025-11-17,BUY,033780,KT&G,64,137877.84334315622,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",메리츠금융지주,6.0,
2025-11-18,SELL,033780,KT&G,64,138170.17500885896,0.21202222098526402,,,,,,6.0
2025-11-18,BUY,000270,기아,79,111409.21838837335,,4.0,2.0,"GC,BB회귀,W패턴,STO_GC",POSCO홀딩스,4.0,
2025-11-19,SELL,000270,기아,79,110834.45027974891,-0.5159071367153767,,,,,,4.0
2025-11-19,BUY,068270,셀트리온,50,176215.0816716466,,4.0,4.0,"GC,MACD,W패턴,STO_GC",기아,3.0,
2025-11-20,SELL,068270,셀트리온,50,177448.01270210845,0.6996739545592767,,,,,,4.0
2025-11-20,BUY,017670,SK텔레콤,166,53256.066801264045,,7.0,2.0,"GC,지지반등,MACD,BB회귀,W패턴,200일선,피보나치",셀트리온,5.0,
2025-11-21,SELL,017670,SK텔레콤,166,52859.37356624532,-0.7448789571694592,,,,,,7.0
2025-11-21,BUY,068270,셀트리온,50,173654.360477046,,5.0,2.0,"GC,MACD,BB회귀,W패턴,STO_GC",HMM,4.0,
2025-11-24,SELL,068270,셀트리온,50,179534.52209648298,3.386129552568451,,,,,,5.0
2025-11-24,BUY,068270,셀트리온,50,179534.52209648298,,4.0,1.0,"GC,MACD,BB회귀,STO_GC",KT&G,4.0,
2025-11-25,SELL,068270,셀트리온,50,174128.57248055775,-3.0110919909988376,,,,,,4.0
2025-11-25,BUY,017670,SK텔레콤,163,53454.411974299066,,5.0,2.0,"GC,BB회귀,W패턴,200일선,피보나치",삼성전자,4.0,
2025-11-26,SELL,017670,SK텔레콤,163,53454.411203211646,-1.442514085958635e-06,,,,,,5.0
2025-11-26,BUY,005930,삼성전자,87,99807.23708809582,,4.0,1.0,"GC,RSI탈출,BB회귀,STO_GC",셀트리온,4.0,
2025-11-27,SELL,005930,삼성전자,87,103382.41877264493,3.5820866190228617,,,,,,4.0
2025-11-27,BUY,009150,삼성전기,36,250208.96476715687,,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,STO_GC",삼성물산,6.0,
2025-11-28,SELL,009150,삼성전기,36,250704.43133715139,0.1980211102570184,,,,,,6.0
2025-11-28,BUY,012330,현대모비스,29,300959.29589054926,,5.0,0.0,"GC,MACD,BB회귀,W패턴,STO_GC",삼성전자,4.0,
2025-12-01,SELL,012330,현대모비스,29,303924.4259678748,0.9852262807007239,,,,,,5.0
2025-12-01,BUY,012330,현대모비스,29,303924.4259678748,,5.0,0.0,"GC,MACD,BB회귀,W패턴,STO_GC",HMM,5.0,
2025-12-02,SELL,012330,현대모비스,29,303430.2170741325,-0.1626091394821061,,,,,,5.0
2025-12-02,BUY,316140,우리금융지주,336,26882.82567349138,,6.0,2.0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",HMM,5.0,
2025-12-03,SELL,316140,우리금융지주,336,27759.44140625,3.2608764547509272,,,,,,6.0
2025-12-03,BUY,316140,우리금융지주,336,27759.44140625,,6.0,2.0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",HMM,5.0,
2025-12-04,SELL,316140,우리금융지주,336,27710.738630392698,-0.17544580650796782,,,,,,6.0
2025-12-04,BUY,032830,삼성생명,61,150331.57517914014,,5.0,0.0,"GC,MACD,BB회귀,W패턴,STO_GC",카카오,5.0,
2025-12-05,SELL,032830,삼성생명,61,150621.78840075852,0.1930487465940267,,,,,,5.0
2025-12-05,BUY,005380,현대차,33,279736.78214285715,,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성생명,6.0,
2025-12-08,SELL,005380,현대차,33,318423.7651545166,13.829780522713907,,,,,,6.0
2025-12-08,BUY,005380,현대차,33,318423.7651545166,,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",메리츠금융지주,7.0,
2025-12-09,SELL,005380,현대차,33,305528.0993485342,-4.049844018308358,,,,,,7.0
2025-12-09,BUY,006400,삼성SDI,32,310500.0,,5.0,0.0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",카카오,5.0,
