date,side,tic,name,qty,price,buy_hit,sell_hit,signals,reason,pnl_pct,hold_days
2025-08-07,BUY,105560,KB금융,106,111497.81569972826,5.0,1.0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",매수5개 1위,,
2025-08-18,SELL,105560,KB금융,106,108152.88122873641,,,,손절-3%,-3.0000000000000027,6.0
2025-08-18,BUY,316140,우리금융지주,474,24263.97176271508,5.0,0.0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",매수5개 1위,,
2025-08-20,SELL,316140,우리금융지주,474,23536.052609833627,,,,손절-3%,-3.0000000000000027,2.0
2025-08-20,BUY,005380,현대차,52,212234.78500566893,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",매수6개 1위,,
2025-08-28,SELL,005380,현대차,52,218601.82855583902,,,,익절+3%,3.0000000000000027,6.0
2025-08-28,BUY,017670,SK텔레콤,209,54545.31783640711,6.0,2.0,"GC,RSI탈출,BB회귀,W패턴,200일선,STO_GC",매수6개 1위,,
2025-10-30,SELL,017670,SK텔레콤,209,52908.958301314895,,,,손절-3%,-2.9999999999999916,39.0
2025-10-30,BUY,035720,카카오,163,67904.84768700787,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",매수6개 1위,,
2025-10-31,SELL,035720,카카오,163,64609.465965821815,,,,손절(갭)-4.9%,-4.852940303136211,1.0
2025-10-31,BUY,011200,HMM,526,19985.075824969586,6.0,0.0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",매수6개 1위,,
2025-11-05,SELL,011200,HMM,526,19385.5235502205,,,,손절-3%,-2.9999999999999916,3.0
2025-11-05,BUY,017670,SK텔레콤,195,51966.81211456357,6.0,2.0,"지지반등,MACD,BB회귀,200일선,STO_GC,피보나치",매수6개 1위,,
2025-11-10,SELL,017670,SK텔레콤,195,53525.81647800047,,,,익절+3%,3.0000000000000027,3.0
2025-11-10,BUY,035720,카카오,165,63311.28499949839,4.0,1.0,"GC,MACD,BB회귀,W패턴",매수4개 1위,,
2025-11-11,SELL,035720,카카오,165,65210.623549483345,,,,익절+3%,3.0000000000000027,1.0
2025-11-11,BUY,017670,SK텔레콤,200,53553.58697532288,7.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2026-01-19,SELL,017670,SK텔레콤,200,55160.19458458257,,,,익절+3%,3.0000000000000027,46.0
2026-01-19,BUY,010130,고려아연,6,1631043.0097064395,5.0,0.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",매수5개 1위,,
2026-01-20,SELL,010130,고려아연,6,1546352.338062924,,,,손절(갭)-5.2%,-5.192424181307043,1.0
2026-01-20,BUY,373220,LG에너지솔루션,26,398000.0,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",매수7개 1위,,
2026-01-22,SELL,373220,LG에너지솔루션,26,409940.0,,,,익절+3%,3.0000000000000027,2.0
2026-01-22,BUY,316140,우리금융지주,387,27856.841884128007,5.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC",매수5개 1위,,
2026-01-23,SELL,316140,우리금융지주,387,28692.547140651848,,,,익절+3%,3.0000000000000027,1.0
2026-01-23,BUY,096770,SK이노베이션,96,115000.0,7.0,1.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",매수7개 1위,,
2026-01-27,SELL,096770,SK이노베이션,96,111550.0,,,,손절-3%,-3.0000000000000027,2.0
2026-01-27,BUY,035720,카카오,175,61314.08426698151,6.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",매수6개 1위,,
2026-02-02,SELL,035720,카카오,175,59474.66173897206,,,,손절-3%,-3.0000000000000027,4.0
2026-02-02,BUY,138040,메리츠금융지주,90,115100.0,6.0,1.0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",매수6개 1위,,
2026-02-03,SELL,138040,메리츠금융지주,90,120000.0,,,,익절(갭)+4.3%,4.257167680278018,1.0
2026-02-03,BUY,138040,메리츠금융지주,90,120000.0,5.0,1.0,"GC,MACD,BB회귀,200일선,피보나치",매수5개 1위,,
2026-02-05,SELL,138040,메리츠금융지주,90,123600.0,,,,익절+3%,3.0000000000000027,2.0
2026-02-05,BUY,011200,HMM,561,19791.04618226601,6.0,2.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",매수6개 1위,,
2026-02-06,SELL,011200,HMM,561,19197.31479679803,,,,손절-3%,-3.0000000000000027,1.0
2026-02-09,BUY,068270,셀트리온,50,214285.71875,5.0,2.0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",매수5개 1위,,
