date,side,tic,name,qty,price,buy_hit,signals,pnl_pct,hold_days,reason
2025-09-11,BUY,035420,NAVER,39,232062.3133717811,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",,,
2025-09-18,SELL,035420,NAVER,39,232557.11358236536,,,0.21321868397974342,5.0,5일보유 후 매도
2025-09-18,BUY,005490,POSCO홀딩스,32,277688.4468694885,7.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",,,
2025-09-26,SELL,005490,POSCO홀딩스,32,273763.48704545456,,,-1.4134400866445351,5.0,5일보유 후 매도
2025-09-26,BUY,006400,삼성SDI,42,208000.0,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",,,
2025-10-10,SELL,006400,삼성SDI,42,208500.0,,,0.24038461538462563,5.0,5일보유 후 매도
2025-10-10,BUY,096770,SK이노베이션,85,104900.0,6.0,"RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",,,
2025-10-17,SELL,096770,SK이노베이션,85,114500.0,,,9.151572926596764,5.0,5일보유 후 매도
2025-10-17,BUY,000270,기아,91,106140.51282337199,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",,,
2025-10-24,SELL,000270,기아,91,111026.04060596171,,,4.60288692096269,5.0,5일보유 후 매도
2025-10-24,BUY,003550,LG,127,79284.04512157108,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",,,
2025-10-31,SELL,003550,LG,127,80065.16889788293,,,0.9852219007167262,5.0,5일보유 후 매도
2025-10-31,BUY,011200,HMM,511,19985.075824969586,6.0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",,,
2025-11-07,SELL,011200,HMM,511,19305.971320005046,,,-3.398058185578956,5.0,5일보유 후 매도
2025-11-07,BUY,017670,SK텔레콤,186,52760.20025749064,6.0,"지지반등,RSI탈출,BB회귀,200일선,STO_GC,피보나치",,,
2025-11-14,SELL,017670,SK텔레콤,186,53652.76068239796,,,1.6917305479343892,5.0,5일보유 후 매도
2025-11-14,BUY,138040,메리츠금융지주,81,122200.0,6.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",,,
2025-11-21,SELL,138040,메리츠금융지주,81,110900.0,,,-9.247135842880528,5.0,5일보유 후 매도
2025-11-21,BUY,068270,셀트리온,52,173654.360477046,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",,,
2025-11-28,SELL,068270,셀트리온,52,176689.3003554774,,,1.7476899918286604,5.0,5일보유 후 매도
2025-11-28,BUY,012330,현대모비스,30,300959.29589054926,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",,,
2025-12-05,SELL,012330,현대모비스,30,343459.29396551725,,,14.121510335545207,5.0,5일보유 후 매도
2025-12-05,BUY,005380,현대차,37,279736.78214285715,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",,,
2025-12-12,SELL,005380,현대차,37,296600.34525290213,,,6.028368161264197,5.0,5일보유 후 매도
2025-12-12,BUY,373220,LG에너지솔루션,24,445000.0,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",,,
2025-12-19,SELL,373220,LG에너지솔루션,24,381000.0,,,-14.382022471910116,5.0,5일보유 후 매도
2025-12-19,BUY,000660,SK하이닉스,16,567857.0589579524,5.0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",,,
2025-12-29,SELL,000660,SK하이닉스,16,628734.5244140625,,,10.720561538465944,5.0,5일보유 후 매도
2025-12-29,BUY,000660,SK하이닉스,16,628734.5244140625,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",,,
2026-01-07,SELL,000660,SK하이닉스,16,758473.3423180593,,,20.63491233043142,5.0,5일보유 후 매도
2026-01-07,BUY,034730,SK,44,279291.22007978725,7.0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",,,
2026-01-14,SELL,034730,SK,44,275371.3524746193,,,-1.4035054893770549,5.0,5일보유 후 매도
2026-01-14,BUY,005490,POSCO홀딩스,35,348766.3736413044,6.0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",,,
2026-01-21,SELL,005490,POSCO홀딩스,35,346787.54594017094,,,-0.5673791542669226,5.0,5일보유 후 매도
2026-01-21,BUY,011200,HMM,611,19936.567164179105,8.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",,,
2026-01-28,SELL,011200,HMM,611,19548.508725585936,,,-1.9464656848768302,5.0,5일보유 후 매도
2026-01-28,BUY,138040,메리츠금융지주,108,110000.0,7.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",,,
2026-02-04,SELL,138040,메리츠금융지주,108,119100.0,,,8.272727272727277,5.0,5일보유 후 매도
2026-02-04,BUY,035420,NAVER,48,263234.8759451796,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",,,
2026-02-11,SELL,035420,NAVER,48,255812.83916868933,,,-2.8195491763165825,5.0,5일보유 후 매도
2026-02-11,BUY,011200,HMM,595,20955.22468824228,7.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",,,
2026-02-23,SELL,011200,HMM,595,22507.46309912854,,,7.407405236543241,5.0,5일보유 후 매도
2026-02-23,BUY,051910,LG화학,39,336833.8728383459,6.0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",,,
2026-03-03,SELL,051910,LG화학,39,399431.2993421053,,,18.58406518806417,5.0,5일보유 후 매도
2026-03-03,BUY,035720,카카오,259,60814.78266792705,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",,,
2026-03-10,SELL,035720,카카오,259,51800.0,,,-14.823341089865206,5.0,5일보유 후 매도
2026-03-10,BUY,207940,삼성바이오로직스,8,1638000.0,3.0,"GC,MACD,STO_GC",,,
2026-03-17,SELL,207940,삼성바이오로직스,8,1589000.0,,,-2.991452991452992,5.0,5일보유 후 매도
2026-03-17,BUY,000660,SK하이닉스,12,1008831.2915592784,3.0,"GC,W패턴,STO_GC",,,
2026-03-24,SELL,000660,SK하이닉스,12,992833.9544878296,,,-1.5857296661290987,5.0,5일보유 후 매도
2026-03-24,BUY,032830,삼성생명,56,228000.0,3.0,"GC,MACD,STO_GC",,,
2026-03-31,SELL,032830,삼성생명,56,213000.0,,,-6.578947368421051,5.0,5일보유 후 매도
2026-03-31,BUY,051910,LG화학,37,319000.0,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",,,
2026-04-07,SELL,051910,LG화학,37,316500.0,,,-0.7836990595611271,5.0,5일보유 후 매도
2026-04-07,BUY,373220,LG에너지솔루션,28,408000.0,6.0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",,,
2026-04-14,SELL,373220,LG에너지솔루션,28,406500.0,,,-0.3676470588235281,5.0,5일보유 후 매도
2026-04-14,BUY,010130,고려아연,6,1696802.8718162524,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",,,
2026-04-21,SELL,010130,고려아연,6,1673886.48502994,,,-1.350562706307934,5.0,5일보유 후 매도
2026-04-21,BUY,015760,한국전력,250,46250.0,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",,,
2026-04-28,SELL,015760,한국전력,250,45500.0,,,-1.6216216216216162,5.0,5일보유 후 매도
2026-04-28,BUY,035420,NAVER,52,215500.0,3.0,"GC,BB회귀,STO_GC",,,
2026-05-07,SELL,035420,NAVER,52,209000.0,,,-3.0162412993039456,5.0,5일보유 후 매도
2026-05-07,BUY,010130,고려아연,6,1738649.905849359,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",,,
2026-05-14,SELL,010130,고려아연,6,1513472.3881535407,,,-12.951285761339937,5.0,5일보유 후 매도
2026-05-14,BUY,017670,SK텔레콤,92,104032.79708799903,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",,,
2026-05-21,SELL,017670,SK텔레콤,92,101652.6363387646,,,-2.2878946023349833,5.0,5일보유 후 매도
2026-05-21,BUY,017670,SK텔레콤,92,101652.6363387646,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",,,
2026-05-29,SELL,017670,SK텔레콤,92,99300.0,,,-2.314387922930272,5.0,5일보유 후 매도
2026-05-29,BUY,006400,삼성SDI,13,680000.0,4.0,"RSI탈출,BB회귀,W패턴,STO_GC",,,
2026-06-08,SELL,006400,삼성SDI,13,504000.0,,,-25.882352941176467,5.0,5일보유 후 매도
2026-06-08,BUY,024110,기업은행,340,20050.0,7.0,"지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",,,
2026-06-15,SELL,024110,기업은행,340,22200.0,,,10.723192019950133,5.0,5일보유 후 매도
2026-06-15,BUY,138040,메리츠금융지주,68,110100.0,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",,,
2026-06-22,SELL,138040,메리츠금융지주,68,108000.0,,,-1.9073569482288777,5.0,5일보유 후 매도
2026-06-22,BUY,373220,LG에너지솔루션,18,407500.0,6.0,"MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",,,
2026-06-29,SELL,373220,LG에너지솔루션,18,336000.0,,,-17.54601226993865,5.0,5일보유 후 매도
2026-06-29,BUY,034730,SK,7,815000.0,3.0,"GC,MACD,W패턴",,,
2026-07-06,SELL,034730,SK,7,,,,,5.0,5일보유 후 매도
