date,side,tic,name,qty,price,buy_hit,signals,reason,amount,pnl_pct,hold_days
2025-07-30,BUY,138040,메리츠금융지주,5,116100.0,3.0,"BB회귀,STO_GC,피보나치",TOP5 1/5 배분,580500.0,,
2025-08-20,SELL,015760,한국전력,20,33705.19248640899,,,손절-10%,,-9.999999999999986,19.0
2025-08-20,BUY,032830,삼성생명,2,125856.73882294877,5.0,"GC,RSI탈출,MACD,BB회귀,W패턴",TOP5 1/5 배분,251713.47764589754,,
2025-08-20,BUY,005380,현대차,1,212234.78500566893,5.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",TOP5 1/5 배분,212234.78500566893,,
2025-08-20,BUY,012330,현대모비스,1,299476.74564676615,5.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",TOP5 1/5 배분,299476.74564676615,,
2025-08-20,BUY,005490,POSCO홀딩스,1,293910.79995819397,4.0,"RSI탈출,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,293910.79995819397,,
2025-08-20,BUY,035720,카카오,5,63710.72778282925,4.0,"GC,MACD,BB회귀,STO_GC",TOP5 1/5 배분,318553.6389141462,,
2025-09-01,SELL,035420,NAVER,1,209301.40904147332,,,손절(갭)-10.4%,,-10.381355290925487,24.0
2025-09-01,SELL,373220,LG에너지솔루션,1,351450.0,,,손절-10%,,-9.999999999999998,22.0
2025-09-01,BUY,000270,기아,1,102308.71998239437,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,102308.71998239437,,
2025-09-01,BUY,011200,HMM,9,21731.34375,4.0,"지지반등,BB회귀,STO_GC,피보나치",TOP5 1/5 배분,195582.09375,,
2025-09-01,BUY,028260,삼성물산,1,165352.2249568059,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,165352.2249568059,,
2025-09-04,SELL,035720,카카오,5,57339.65500454632,,,손절-10%,,-10.000000000000009,11.0
2025-09-04,BUY,003550,LG,2,72095.09453642384,7.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,144190.1890728477,,
2025-09-04,BUY,105560,KB금융,1,106244.9470046083,4.0,"RSI탈출,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,106244.9470046083,,
2025-09-30,SELL,011200,HMM,9,19558.209375000002,,,손절-10%,,-9.999999999999986,20.0
2025-09-30,BUY,011200,HMM,7,19985.07426745636,5.0,"지지반등,BB회귀,200일선,STO_GC,피보나치",TOP5 1/5 배분,139895.5198721945,,
2025-10-15,SELL,032830,삼성생명,2,159908.6734933724,,,익절+30%(익일시가),,27.056107594148603,33.0
2025-10-15,BUY,096770,SK이노베이션,1,106500.0,7.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",TOP5 1/5 배분,106500.0,,
2025-10-17,SELL,028260,삼성물산,1,212002.71177256532,,,익절+30%(익일시가),,28.212796548667953,27.0
2025-10-17,BUY,000270,기아,1,106140.51282337199,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,106140.51282337199,,
2025-10-17,BUY,096770,SK이노베이션,1,114500.0,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,114500.0,,
2025-10-17,BUY,015760,한국전력,5,38244.14268332845,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,191220.71341664225,,
2025-10-17,BUY,017670,SK텔레콤,3,54148.626433486235,6.0,"지지반등,RSI탈출,BB회귀,W패턴,200일선,STO_GC",TOP5 1/5 배분,162445.8793004587,,
2025-10-20,SELL,006400,삼성SDI,1,258000.0,,,익절+30%(익일시가),,40.21739130434783,55.0
2025-10-20,BUY,000270,기아,1,112079.78118176856,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,112079.78118176856,,
2025-10-20,BUY,096770,SK이노베이션,1,115500.0,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,115500.0,,
2025-10-20,BUY,015760,한국전력,3,42504.25128665581,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,127512.75385996743,,
2025-10-31,SELL,005380,현대차,5,268711.27435344824,,,익절+30%(익일시가),,26.610388500708492,61.0
2025-10-31,BUY,011200,HMM,16,19985.075824969586,6.0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",TOP5 1/5 배분,319761.2131995134,,
2025-10-31,BUY,012330,현대모비스,1,304418.61669303797,4.0,"GC,MACD,BB회귀,W패턴",TOP5 1/5 배분,304418.61669303797,,
2025-10-31,BUY,035720,카카오,5,64609.465965821815,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,323047.3298291091,,
2025-10-31,BUY,003550,LG,4,80065.16889788293,3.0,"GC,MACD,W패턴",TOP5 1/5 배분,320260.67559153173,,
2025-10-31,BUY,024110,기업은행,18,18393.355004971225,3.0,"GC,MACD,W패턴",TOP5 1/5 배분,331080.39008948207,,
2025-11-18,SELL,035720,카카오,5,58148.519369239635,,,손절-10%,,-9.999999999999998,12.0
2025-11-18,BUY,017670,SK텔레콤,1,52958.54517018501,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,52958.54517018501,,
2025-11-27,SELL,015760,한국전력,8,51411.74580021676,,,익절+30%(익일시가),,29.040094194061126,28.0
2025-11-27,BUY,005930,삼성전자,1,103382.41877264493,5.0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,103382.41877264493,,
2025-11-27,BUY,017670,SK텔레콤,2,53256.066801264045,5.0,"GC,BB회귀,W패턴,200일선,피보나치",TOP5 1/5 배분,106512.13360252809,,
2026-01-02,SELL,096770,SK이노베이션,3,100950.0,,,손절-10%,,-10.000000000000009,54.0
