date,portfolio,n_pos,cash
2024-05-10,10384850.36185271,16,294140.86282927165
2024-05-13,10359219.39104415,15,591190.8002238371
2024-05-14,10342846.751122683,15,622353.4894039343
2024-05-16,10341075.309984991,14,733530.7299068669
2024-05-17,10275771.353930304,14,733530.7299068669
2024-05-20,10334199.237719366,14,733530.7299068669
2024-05-21,10308423.568774054,14,733530.7299068669
2024-05-22,10307498.356859991,14,733530.7299068669
2024-05-23,10290601.439867804,14,733530.7299068669
2024-05-24,10162707.049242804,14,733530.7299068669
2024-05-27,10239785.081469366,14,733530.7299068669
2024-05-28,10214989.127367804,14,733530.7299068669
2024-05-29,10123253.866625616,14,733530.7299068669
2024-05-30,10046348.978221813,13,573581.2975577512
2024-05-31,9967054.526073376,13,573581.2975577512
2024-06-03,10149178.060253063,13,573581.2975577512
2024-06-04,10070356.488964,13,573581.2975577512
2024-06-05,10143065.893260876,13,573581.2975577512
2024-06-07,10198620.299510876,13,573581.2975577512
2024-06-10,10090526.61787025,13,573581.2975577512
2024-06-11,10073248.20380775,13,573581.2975577512
2024-06-12,10135662.243846813,13,573581.2975577512
2024-06-13,10102306.538768688,13,573581.2975577512
2024-06-14,10172649.870433515,15,454218.73371476546
2024-06-17,10141847.664378827,15,454218.73371476546
2024-06-18,10207140.93879289,15,454218.73371476546
2024-06-19,10277882.589183515,15,454218.73371476546
2024-06-20,10288543.697581952,15,454218.73371476546
2024-06-21,10280903.868661871,16,187606.56202124612
2024-06-24,10263210.485849371,16,187606.56202124612
2024-06-25,10287841.987802496,16,187606.56202124612
2024-06-26,10287703.809091559,16,187606.56202124612
2024-06-27,10333227.026864996,16,187606.56202124612
2024-06-28,10412993.733896246,16,187606.56202124612
2024-07-01,10444900.294443121,16,187606.56202124612
2024-07-02,10515488.815927496,16,187606.56202124612
2024-07-03,10505174.896005621,16,187606.56202124612
2024-07-04,10660890.407018252,15,243627.15701825087
2024-07-05,10789090.699987002,15,243627.15701825087
2024-07-08,10680775.417569654,17,690491.1744055912
2024-07-09,10692377.120694654,17,690491.1744055912
2024-07-10,10683058.458585279,17,690491.1744055912
2024-07-11,10785055.910733717,17,690491.1744055912
2024-07-12,10745918.220304029,17,690491.1744055912
2024-07-15,10752853.539639967,17,690491.1744055912
2024-07-16,10830684.554288404,17,690491.1744055912
2024-07-17,10878796.672452467,17,690491.1744055912
2024-07-18,10948290.208585279,17,690491.1744055912
2024-07-19,10873859.331632154,17,690491.1744055912
2024-07-22,10903354.080655592,17,690491.1744055912
2024-07-23,10901382.821397869,17,411375.90245255583
2024-07-24,10914722.924913494,17,411375.90245255583
2024-07-25,10878544.912218181,17,411375.90245255583
2024-07-26,11043200.120225994,17,411375.90245255583
2024-07-29,11117321.002061931,17,411375.90245255583
2024-07-30,11106191.967242694,16,263690.45161769324
2024-07-31,11181175.840289569,16,263690.45161769324
2024-08-01,11123886.935992694,16,263690.45161769324
2024-08-02,10932137.290484881,16,263690.45161769324
2024-08-05,10170005.967739787,12,405075.3300444736
2024-08-06,10275736.611294474,12,405075.3300444736
2024-08-07,10662328.112271037,12,405075.3300444736
2024-08-08,10662668.588833537,12,405075.3300444736
2024-08-09,10806883.62496635,12,405075.3300444736
2024-08-12,10825945.826138224,12,405075.3300444736
2024-08-13,10918505.741177287,12,405075.3300444736
2024-08-14,10955250.7069976,12,405075.3300444736
2024-08-16,11000267.081021037,12,405075.3300444736
2024-08-19,11085338.39840385,12,405075.3300444736
2024-08-20,11121550.095669474,12,405075.3300444736
2024-08-21,11179212.735317912,12,405075.3300444736
2024-08-22,11254995.721646037,12,405075.3300444736
2024-08-23,11330143.526333537,12,405075.3300444736
2024-08-26,11345236.994719561,16,401890.64120393625
2024-08-27,11289071.301360186,16,401890.64120393625
2024-08-28,11245223.777922686,16,401890.64120393625
2024-08-29,11153491.307219561,16,401890.64120393625
2024-08-30,11116550.950774249,16,401890.64120393625
2024-09-02,11114371.026946124,16,401890.64120393625
2024-09-03,11249407.711516436,16,401890.64120393625
2024-09-04,11070164.245140392,15,323350.87599976687
2024-09-05,11150725.85744508,15,323350.87599976687
2024-09-06,11100992.628929455,15,323350.87599976687
2024-09-09,11031825.763152063,16,206605.50143331254
2024-09-10,11045061.540495813,16,206605.50143331254
2024-09-11,10870465.338347375,16,206605.50143331254
2024-09-12,11015070.869597375,16,206605.50143331254
2024-09-13,11194111.525847375,16,206605.50143331254
2024-09-19,11347167.002409875,16,206605.50143331254
2024-09-20,11332215.736784875,16,206605.50143331254
2024-09-23,11297820.486784875,16,206605.50143331254
2024-09-24,11382595.767058313,16,206605.50143331254
2024-09-25,11075250.521941125,16,206605.50143331254
2024-09-26,11345920.954558313,16,206605.50143331254
2024-09-27,11272223.35983175,16,206605.50143331254
2024-09-30,11096655.706511438,16,206605.50143331254
2024-10-02,10982851.294873407,15,296849.1513187196
2024-10-04,10989509.90131872,15,296849.1513187196
2024-10-07,11053062.528271845,15,296849.1513187196
